siteowner, landfill_transferstation, rwmg, sitename, ogc_fid, localgovernmentarea, longitude, latitude, statusofsite, postcode, acceptsputrescible, siteaddress, town_suburb
"Swan Hill Rural City Council                                                                                                                                                                                                                                   ","Landfill                                                                                                                                                                                                                                                       ","Central Murray                                                                                                                                                                                                                                                 ","Ultima Landfill un lic.                                                                                                                                                                                                                                        ",46,"Swan Hill (RC)                                                                                                                                                                                                                                                 ",143.280649,-35.454618,"Existing                                                                                                                                                                                                                                                       ","3544                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Sea Lake Rd                                                                                                                                                                                                                                                   ","Ultima                                                                                                                                                                                                                                                         "
"Hindmarsh Shire Council                                                                                                                                                                                                                                        ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Dimboola Transfer Station                                                                                                                                                                                                                                      ",47,"Hindmarsh (S)                                                                                                                                                                                                                                                  ",142.049829,-36.449309,"Existing                                                                                                                                                                                                                                                       ","3414                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Warracknabeal Road                                                                                                                                                                                                                                            ","Dimboola                                                                                                                                                                                                                                                       "
"Hindmarsh Shire Council                                                                                                                                                                                                                                        ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Jeparit Transfer Station                                                                                                                                                                                                                                       ",48,"Hindmarsh (S)                                                                                                                                                                                                                                                  ",141.994778,-36.134532,"Existing                                                                                                                                                                                                                                                       ","3423                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Jeparit East Road                                                                                                                                                                                                                                             ","Jeparit                                                                                                                                                                                                                                                        "
"Hindmarsh Shire Council                                                                                                                                                                                                                                        ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Nhill Transfer Station                                                                                                                                                                                                                                         ",49,"Hindmarsh (S)                                                                                                                                                                                                                                                  ",141.6749833,-36.15188333,"Existing                                                                                                                                                                                                                                                       ","3418                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Netherby Road                                                                                                                                                                                                                                                 ","Nhill                                                                                                                                                                                                                                                          "
"Hindmarsh Shire Council                                                                                                                                                                                                                                        ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Rainbow Transfer Station                                                                                                                                                                                                                                       ",50,"Hindmarsh (S)                                                                                                                                                                                                                                                  ",141.972857,-35.905849,"Existing                                                                                                                                                                                                                                                       ","3424                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Off Rainbow Nhill Road                                                                                                                                                                                                                                        ","Rainbow                                                                                                                                                                                                                                                        "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Apsley Transfer Station                                                                                                                                                                                                                                        ",51,"West Wimmera (S)                                                                                                                                                                                                                                               ",141.06853,-36.98488,"Existing                                                                                                                                                                                                                                                       ","3319                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Off Apsley / Langkoop Road                                                                                                                                                                                                                                    ","Apsley                                                                                                                                                                                                                                                         "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Chetwynd Transfer Station                                                                                                                                                                                                                                      ",52,"West Wimmera (S)                                                                                                                                                                                                                                               ",141.395203,-37.271168,"Existing                                                                                                                                                                                                                                                       ","3312                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Chetwynd Cemetery Rd                                                                                                                                                                                                                                          ","Chetwynd                                                                                                                                                                                                                                                       "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Dergholm Transfer Station                                                                                                                                                                                                                                      ",53,"West Wimmera (S)                                                                                                                                                                                                                                               ",141.218428,-37.396665,"Existing                                                                                                                                                                                                                                                       ","3312                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Off Casterton /Naracoorte Road                                                                                                                                                                                                                                ","Dergholm                                                                                                                                                                                                                                                       "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Edenhope Transfer Station                                                                                                                                                                                                                                      ",54,"West Wimmera (S)                                                                                                                                                                                                                                               ",141.282225,-37.03742778,"Existing                                                                                                                                                                                                                                                       ","3318                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Moss St                                                                                                                                                                                                                                                       ","Edenhope                                                                                                                                                                                                                                                       "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Goroke Transfer Station                                                                                                                                                                                                                                        ",55,"West Wimmera (S)                                                                                                                                                                                                                                               ",141.4728222,-36.71566944,"Existing                                                                                                                                                                                                                                                       ","3412                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Kylie Street                                                                                                                                                                                                                                                  ","Goroke                                                                                                                                                                                                                                                         "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Harrow Transfer Station                                                                                                                                                                                                                                        ",56,"West Wimmera (S)                                                                                                                                                                                                                                               ",141.597127,-37.135152,"Existing                                                                                                                                                                                                                                                       ","3317                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Off Nhill / Harrow Road                                                                                                                                                                                                                                       ","Harrow                                                                                                                                                                                                                                                         "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Kaniva Transfer Station                                                                                                                                                                                                                                        ",57,"West Wimmera (S)                                                                                                                                                                                                                                               ",141.193703,-36.407488,"Existing                                                                                                                                                                                                                                                       ","3419                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," South Lillimur Rd                                                                                                                                                                                                                                             ","Kaniva                                                                                                                                                                                                                                                         "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Lemon Springs Transfer Station                                                                                                                                                                                                                                 ",58,"West Wimmera (S)                                                                                                                                                                                                                                               ",141.2664944,-36.687925,"Existing                                                                                                                                                                                                                                                       ","3419                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Off Kaniva Edenhope Rd                                                                                                                                                                                                                                        ","Lemon Springs                                                                                                                                                                                                                                                  "
"West Wimmera Shire Council                                                                                                                                                                                                                                     ","Transfer station                                                                                                                                                                                                                                               ","Desert Fringe                                                                                                                                                                                                                                                  ","Serviceton Transfer Station                                                                                                                                                                                                                                    ",59,"West Wimmera (S)                                                                                                                                                                                                                                               ",140.99665,-36.36796944,"Existing                                                                                                                                                                                                                                                       ","3420                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Serviceton Tip Road                                                                                                                                                                                                                                           ","Serviceton                                                                                                                                                                                                                                                     "
"Bass Coast Shire Council                                                                                                                                                                                                                                       ","Transfer station                                                                                                                                                                                                                                               ","Gippsland                                                                                                                                                                                                                                                      ","Grantville Resource Recovery Centre (at landfill site)                                                                                                                                                                                                         ",60,"Bass Coast (S)                                                                                                                                                                                                                                                 ",145.530482,-38.417992,"Existing                                                                                                                                                                                                                                                       ","3984                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Cnr Bass Hwy & Stanley Rd                                                                                                                                                                                                                                     ","Grantville                                                                                                                                                                                                                                                     "
"Bass Coast Shire Council                                                                                                                                                                                                                                       ","Transfer station                                                                                                                                                                                                                                               ","Gippsland                                                                                                                                                                                                                                                      ","Inverloch Transfer Station                                                                                                                                                                                                                                     ",61,"Bass Coast (S)                                                                                                                                                                                                                                                 ",145.743454,-38.626627,"Existing                                                                                                                                                                                                                                                       ","3996                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Old Ford Road\nScrew Creek Road?                                                                                                                                                                                                                               ","Inverloch                                                                                                                                                                                                                                                      "
"Baw Baw Shire Council                                                                                                                                                                                                                                          ","Transfer station                                                                                                                                                                                                                                               ","Gippsland                                                                                                                                                                                                                                                      ","Erica Transfer Station                                                                                                                                                                                                                                         ",64,"Baw Baw (S)                                                                                                                                                                                                                                                    ",146.371649,-37.981676,"Existing                                                                                                                                                                                                                                                       ","3825                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Mathiesons Rd                                                                                                                                                                                                                                                 ","Erica                                                                                                                                                                                                                                                          "
"Baw Baw Shire Council                                                                                                                                                                                                                                          ","Transfer station                                                                                                                                                                                                                                               ","Gippsland                                                                                                                                                                                                                                                      ","Lardner Transfer Station                                                                                                                                                                                                                                       ",65,"Baw Baw (S)                                                                                                                                                                                                                                                    ",145.864151,-38.222795,"Existing                                                                                                                                                                                                                                                       ","3821                                                                                                                                                                                                                                                           ","No                                                                                                                                                                                                                                                             "," Simpson Rd (Off Burnt Store Rd, Opposite Field Days Side Entrance)                                                                                                                                                                                            ","Lardner                                                                                                                                                                                                                                                        "
